order_date,customer_id
2017-Sep-07,DK-13375
2017-Jul-08,DK-13375
2017-Feb-08,NF-18475
2017-Mar-14,JC-15340
2017-Jan-28,JC-15340
2017-Apr-08,NF-18475
2017-Apr-18,NF-18475
2017-Apr-18,DK-13375
2017-Apr-18,KM-16720
2017-May-08,KM-16720
2017-Oct-06,CS-12250
2017-Dec-16,NG-18355
2017-Nov-24,JC-15340
2017-Nov-04,NG-18355
2017-Nov-24,KB-16240
2017-Nov-24,NG-18355
2017-Mar-26,NG-18355
2017-Mar-28,DR-12940
2017-Sep-02,SV-20785
2017-Jun-02,CS-12505
2017-Jun-02,SV-20785
2017-Oct-21,FH-14275
2017-Oct-21,DR-12940
2017-Aug-25,FH-14275
2017-Nov-19,DB-13360
2017-Dec-07,AS-10630
2017-Dec-26,CS-12250
2017-Sep-12,SD-20485
2017-Nov-19,DB-13360
2017-Nov-28,AS-10630
2017-Nov-28,CS-12250
2017-Dec-28,CS-12250
2017-Dec-15,MC-18100
2017-Oct-15,MC-18100
2017-Mar-31,KB-16240
2017-Oct-28,SD-20485
2017-Nov-29,CS-12250
2017-Oct-28,KB-16240
2017-Oct-28,AY-10555
2017-Oct-28,DK-13375
