sl_no,customer_id,sales_person,sales_date
1,10011,Shah,29-01-26
2,10015,Soha,30-01-26
3,10016,Soha,30-01-26
4,10018,Alam,13-01-26
5,10016,Marin,08-01-26
6,10011,Aliza,13-01-26
7,10014,Aliza,13-01-26
8,10018,Aliza,13-01-26
9,10012,Aliza,13-01-26
10,10011,Shah,14-01-26
11,10017,Shah,14-01-26
12,10011,Alam,31-01-26
13,10011,Sultana,02-01-26
14,10011,Aliza,28-01-26
15,10016,Soha,09-01-26
16,10014,Soha,09-01-26
17,10015,Soha,09-01-26
18,10011,Marin,17-01-26
19,10013,Sultana,10-01-26
20,10011,Aliza,14-01-26
21,10012,Soha,13-01-26
